id,balance_time,LTV_time,interest_rate_time,hpi_time,gdp_time,uer_time,REtype_CO_orig_time,REtype_PU_orig_time,REtype_SF_orig_time,investor_orig_time,balance_orig_time,FICO_orig_time,LTV_orig_time,Interest_Rate_orig_time,hpi_orig_time,default,mat_orig_diff
46575,119808.67733333331,79.17786453933333,5.989999999999999,202.68066666666667,1.2767022022200003,5.140000000000001,0.0,0.0,1.0,0.0,123250.0,636.0,85.0,5.989999999999999,191.42000000000004,1.0,120.0
46579,195939.05133333334,120.59200309746667,8.525000000000002,185.19866666666664,0.04819471356666665,6.3999999999999995,0.0,0.0,1.0,0.0,200340.0,791.0,100.0,8.525000000000002,223.75,1.0,118.0
46580,309531.3493333334,67.19049674746667,6.75,180.92933333333332,0.08360350843999992,6.746666666666667,0.0,0.0,1.0,0.0,319000.0,555.0,55.0,6.75,223.75,1.0,118.0
46592,297067.21599999996,80.5604161346,6.989999999999998,161.30266666666665,0.15063140719999993,8.293333333333335,0.0,0.0,1.0,0.0,306000.0,605.0,60.0,6.989999999999998,222.3899999999999,1.0,120.0
46601,550715.0326666668,106.47274241213336,3.2,161.514,1.90073955506,8.273333333333333,0.0,0.0,1.0,0.0,558000.0,646.0,80.9,1.2,212.73,1.0,118.0
46613,49363.808,56.74850601120001,4.766666666666667,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,0.0,0.0,55250.0,564.0,85.0,4.766666666666667,125.92000000000003,0.0,121.0
46620,115135.20933333333,77.69122335213335,8.116666666666667,155.63266666666667,1.1620988461600001,9.04,0.0,0.0,1.0,0.0,124200.0,579.0,90.0,0.0,144.83999999999997,0.0,120.0
46623,69196.47933333334,69.18117149453334,6.549999999999998,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,81700.0,712.0,95.0,6.549999999999998,144.83999999999997,0.0,121.0
46624,36310.62066666667,25.160721532666667,6.099999999999999,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,81200.0,681.0,62.5,6.099999999999999,149.7,0.0,60.0
46629,96284.62400000001,90.88860961786665,4.216666666666667,167.86533333333333,1.9186841548800002,7.613333333333333,0.0,0.0,0.0,0.0,103700.0,605.0,85.0,4.216666666666667,191.42000000000004,0.0,120.0
46645,127973.08333333331,117.33250733526668,6.683333333333334,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,137750.0,579.0,95.0,6.683333333333334,222.3899999999999,0.0,121.0
46649,42219.861999999994,81.79685409793335,10.125,157.11133333333333,1.7927859006666664,8.846666666666666,0.0,0.0,1.0,0.0,50004.0,609.0,71.39999999999999,10.125,212.73,0.0,58.0
46652,64712.57400000001,24.657672855999994,7.900000000000002,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,180000.0,613.0,90.0,7.900000000000002,125.92000000000003,0.0,61.0
46658,101987.30866666666,50.19842932473333,6.349999999999999,167.86533333333333,1.9186841548800002,7.613333333333333,0.0,1.0,0.0,0.0,120360.0,761.0,68.0,6.349999999999999,144.83999999999997,0.0,120.0
46661,147662.48466666666,59.54386918146666,9.43,194.24333333333334,0.3598911766066667,5.706666666666667,0.0,0.0,1.0,0.0,155000.0,580.0,79.5,0.0,149.7,0.0,120.0
46662,77575.60800000002,67.86602080926667,8.599999999999998,155.63266666666667,1.1620988461600001,9.04,0.0,1.0,0.0,0.0,88000.0,601.0,80.0,8.599999999999998,149.7,0.0,120.0
46664,43802.52866666666,46.3471133324,5.989999999999999,170.19533333333337,1.998497704873333,7.386666666666667,0.0,1.0,0.0,0.0,54600.0,587.0,65.0,5.989999999999999,149.7,0.0,121.0
46668,125660.24266666669,120.63272410933335,3.850000000000001,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,138400.0,627.0,100.0,0.0,223.75,0.0,117.0
46673,173811.45400000003,98.62696290439999,7.150000000000002,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,188241.0,585.0,80.0,0.0,225.09999999999994,0.0,121.0
46678,68998.65866666668,142.52037231466664,5.0,156.15133333333335,1.51061620384,8.973333333333333,0.0,0.0,1.0,0.0,65550.0,554.0,95.0,0.0,222.3899999999999,1.0,120.0
46684,94407.87200000002,112.38876280046667,6.766666666666667,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,100700.0,548.0,95.0,11.699999999999998,212.73,0.0,118.0
46686,59394.291999999994,115.61994139320001,6.241666666666666,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,65000.0,618.0,100.0,0.0,212.73,0.0,118.2
46687,127320.35666666666,126.59044280533334,6.066666666666666,158.86666666666667,0.18823271110666662,8.546666666666669,0.0,0.0,1.0,0.0,128250.0,567.0,95.0,0.0,212.73,1.0,118.0
46688,131450.76000000004,76.38659562753332,2.562,170.19533333333337,1.998497704873333,7.386666666666667,0.0,1.0,0.0,0.0,180400.0,635.0,80.0,2.562,212.73,0.0,118.0
